D_020_003_005_009,韓妞夯一字涼鞋▼699
A,美妝保健
A_001,專櫃保養
0_053_003,O．P．I
A_013,塑身/保健
0_053_007,船井生醫
A_004,香水/美體
0_053_009,妮傲絲翠
A_009,醫美藥妝
0_053_010,雅聞/倍優
A_002,開架保養
A_004_032_096,LUSH
A_003,彩妝
0_053_001,CHIC CHOC
0_053_006,瑰珀翠
0_053_004,Dr.Ci:Labo城野醫生
C,流行服飾
0_056_017_001,曼黛瑪璉/瑪登瑪朵
C_001,流行女裝
C_009_008_033,EASYSHOP
C_003,男士專區
0_056_021,MYVEGA 麥雪爾
C_006,內睡衣
0_056_011_002,LADY 法式內衣
C_009,專櫃內衣
0_056_012,Mollifix 瑪莉菲絲
C_012,機能休閒服
0_056_006_001,Bast 芭絲媞
0_056_001_044,bossini 堡獅龍
0_056_015_007,黛瑪 時尚內衣
0_056_002_024,GIORDANO 佐丹奴
0_056_008,TOP GIRL
0_056_018,The North Face
0_056_020,Beauty Focus
B,精品名錶
B_013,歐系精品
B_014,美日精品
B_010,男仕精品
B_002,瑞士錶/時尚錶
B_004,名牌眼鏡
B_003,珠寶金飾
D,鞋包配飾
D_004,時尚包包
0_060_003_003_001,THINK PINK專櫃包
D_020,流行女鞋/男鞋
0_060_002_013,Diffeny專櫃女鞋
D_001,運動/休閒鞋
D_011,飾品配件
0_060_009,uniweather氣候時尚
0_060_004_001,Umoie Roie
0_060_005_006,WuMi 手工真皮
0_060_008,M2nd x Goleys
0_060_007_008,Story+故事銀飾
E,NB/PC
E_020,3C最精省
E_012,網路設備 ‧網路硬碟
E_001,筆記型電腦
E_016,印表機‧掃描器
E_002,平板電腦
E_017,墨水‧碳粉‧OA用品
E_006,品牌電腦
E_013,鍵盤‧滑鼠‧電競
E_007,DIY 套裝電腦
E_015,喇叭‧線材‧週邊
E_011,DIY零組件
E_005,平板‧筆電配件
E_008,LCD液晶螢幕
E_018,軟體‧PC GAME
E_010,外接式硬碟
E_009,記憶卡‧隨身碟
F,消費電子
F_004,單眼相機
F_014,電玩遊戲/模型
F_022,微單眼相機
F_002,GPS/辭典
F_003,數位相機
F_010,MP3/耳機
F_026,楔石攝影怪兵器
F_017,行動電源/電池
F_023,單眼相機配件
F_018,記憶卡
F_024,數位相機配件/拍立得
F_025_042,穿戴裝置
F_005,攝影DV/防潮箱
F_001,手機
F_025,手機配件
G,大小家電
G_001_034,【電視快倉專區】
G_006,清淨‧除濕機
G_013_004,飛利浦PHILIPS
G_004,廚房家電
G_017,本月強打
G_011,健康美容家電
G_001,電視TV
G_005,生活家電
G_003,音響‧劇院‧投影機
G_008,吸塵器‧清潔打掃
G_025,冰箱
G_024,電暖器‧電毯
G_022,洗‧乾衣機
G_013,品牌專區
G_020,冷‧暖氣機
G_023,電風扇
H,居家生活
H_009,聯合超市
H_008,銀髮．健康醫療
H_004,清潔日用
H_014,開運風水
H_017,鍋具餐盤
H_006,寵物用品
H_001,餐廚杯瓶
H_005,婦嬰玩具
H_013,童裝鞋包
H_002,百貨家飾
H_012,照明修繕
H_011,廚具衛浴
I,傢俱寢具收納
I_001,傢俱沙發
I_007,收納用品
I_003,品牌寢具
I_004,寢具被枕
I_002,床墊．保暖/保潔墊
J,食尚良品
J_007,美食餐券
J_012,泡麵罐頭/南北貨
J_017,★粽獎大樂透★
J_025,黑貓探險隊
J_009,OCOP台灣物產館
J_011,快速到貨★食品專區
J_004,熟食/冷凍調理
J_006,飲料/水/茶/沖泡
J_002,烘焙/甜品/冰品
J_013,生鮮超市★聯合超市
J_005,天然/有機
J_003,滷味/零嘴/伴手禮
K,圖書文創
K_007,讀冊生活網路書店
K_001,書籍免運
K_003,文具雜貨
K_002,雜誌/報紙
K_004,CD/DVD
K_005,設計文創
L,交通休閒
L_009,機車與周邊商品
L_010,汽車用品/行車記錄器
L_008,票券/行李箱/泡湯
L_005,健身美體器材
L_004,運動/休閒用品
L_006,自行車與周邊商品
L_007,戰術休閒/軍用品
L_014,各式樂器
L_011,★涼夏專區 ★
0,品牌專館
V,銀髮樂活
V_017,【快搜】銀髮用品
V_009,通訊‧視聽輔助
V_010,安養照護
V_011,安全防護
V_012,生活用品
V_015,保健‧健康食品
V_014,運動舒壓
V_016,健康書籍
V_013,園藝生活
L_006_002,自行車服飾與用品
B_014_003,COACH
J_007_001_004,全國連鎖餐廳
J_007_001_002,中☆台灣
J_007_001_003,南☆東台灣
J_007_003,★本週特惠星★
J_007_008,❤春饗宴❤餐券每月特惠
J_007_017,❤新品推薦❤
J_007_009,❤就愛這間餐廳❤
J_007_007,❤網友最愛推薦❤
J_007_002,❤美歐精選❤
J_007_012,❤美食之旅❤
J_007_011,❤吃飽飽‧泡暖暖❤
J_007_005,❤伴手禮票券/提貨券❤
G_001_001_012,國際 Panasonic
G_001_001_001,索尼 SONY
G_001_001_019,瑞旭 VIZIO
G_001_001_004,奇美 CHIMEI
G_001_001_011,聲寶SAMPO★84折起
G_001_001_029,JVC
G_001_001_022,禾聯 HERAN
G_001_001_003,樂金LG★結帳再享95折
G_001_001_002,東芝 TOSHIBA
G_001_001_014,三星 Samsung
G_001_001_024,歌林 Kolin
G_001_001_021,東元 TECO
G_001_001_005,三洋 SANYO
G_001_001_025,飛利浦 PHILIPS
G_001_001_015,夏普 SHARP
G_001_001_026,嘉豐 DECAMAX
G_001_001_023,大同 TATUNG
G_001_001_016,山水 SANSUI
G_001_001_006,TCL
G_001_001_008,其他品牌液晶電視
G_001_040,低藍光專區
G_001_008,★新機上市
G_001_032,本月強打
G_001_030,智慧新選擇
G_001_005,呎吋快選
G_001_006,價格快選
G_001_004,TV線材‧週邊
B_014_003_023,年度熱銷商品大賞
B_014_003_016,2015新品強打
B_014_003_027,COACH▼全系列
B_014_003_026,專櫃款▼免萬元
B_014_003_001,肩背包
B_014_003_018,斜背包
B_014_003_019,肩斜二用包(附長背帶)
B_014_003_019_001,經典織布款
B_014_003_019_002,皮革 / 漆皮
B_014_003_019_003,其他 / 限定款
B_014_003_021,後背包 / 書包 / 郵差包
B_014_003_002,手提包
B_014_003_003,手拿包
B_014_003_003_001,C Logo 織布款
B_014_003_003_004,其他 / 限定款
B_014_003_003_002,皮革 / 漆皮
B_014_003_003_003,大款 / 晚宴包
B_014_003_004,皮夾
B_014_003_004_001,短夾 / 中夾
B_014_003_004_002,長夾
B_014_003_005,品牌配件
B_014_003_005_001,名片夾/證件夾/護照夾
B_014_003_005_002,零錢包/化妝包
B_014_003_005_003,鑰匙圈/吊飾
B_014_003_005_005,手機套/手機殼/ipad套
B_014_003_005_004,配飾/其他小物
B_014_003_022,男士專區
B_014_003_022_001,紳士包款
B_014_003_022_002,型男皮夾、配件
B_004_064_001,太陽眼鏡
B_004_064_002,光學眼鏡
B_002_041_007,手錶
B_014_001,強打活動
B_014_063,COACH▼價格快選
B_014_045,BURBERRY日系
B_014_024,PROENZA SCHOULER
B_014_009,Marc Jacobs
B_014_068,MICHAEL KORS
B_014_025,Calvin Klein
B_014_014,Regalo日本製★全牛皮
B_014_038,Sarlisi稀有皮件
B_014_006,Kipling U.S.A.
B_014_012,Ralph Lauren POLO
B_014_074,ED Hardy
B_014_071,3.1 Phillip Lim
B_014_043,Anne Klein
B_014_035,AIGNER
B_014_078,ANNA SUI
B_014_077,Butler Verner Sails
B_014_036,Crystal Ball狗頭包
B_014_075,CHROME
B_014_031,DIESEL
B_014_023,FOSSIL
B_014_064,GUESS
B_014_002,ISSEY MIYAKE三宅一生
B_014_011,kitson
B_014_013,kate spade 紐約時尚
B_014_027,LeSportsac
B_014_026,LANEVE
B_014_054,LEVIS
B_014_050,LACOSTE
B_014_066,NAUTICA
B_014_065,NIKE
B_014_029,Reiko Aoki
B_014_072,Rebecca Minkoff
B_014_028,Tommy Hilfiger
B_014_015,TORY BURCH
B_014_033,Timberland
B_014_048,Barbie芭比-帕領巾
B_014_049,DKNY-帕領巾
B_014_051,PINK HOUSE-絲巾/帕巾
B_014_017,其他品牌
B_014_021,精品清潔保養
L_006_002_057,GIANT 捷安特
L_006_002_058,LEZYNE
L_006_002_056,TOPEAK
L_006_002_061,EXUSTAR服飾/配件
L_006_002_061_001,手套
L_006_002_061_002,安全帽
L_006_002_061_003,太陽眼鏡
L_006_002_061_005,車服
L_006_002_061_007,車袋/工具組
L_006_002_067,DOSUN
L_006_002_068,STARBIKE
L_006_002_072,Salzmann反光配備(滿額)
L_006_002_071,Salzmann 安全反光配備
L_006_002_006,防風眼鏡
L_006_002_006_010,Polaroid偏光套鏡
L_006_002_006_002,Olink sports 專業眼鏡
L_006_002_006_005,MLB偏光太陽眼鏡
L_006_002_006_001,3M耐衝擊運動眼鏡
L_006_002_006_008,Power Play運動眼鏡
L_006_002_006_007,德國 Drager 太空鏡片運動安全眼鏡
L_006_002_006_003,運動太陽眼鏡
L_006_002_008,手套/袖套/頭套
L_006_002_008_001,手套
L_006_002_008_002,袖套
L_006_002_008_003,頭套
L_006_002_045,自行車衣/褲/鞋/襪
L_006_002_045_007,Cycl+ing 車衣
L_006_002_045_016,【LEADER】緊身衣
L_006_002_045_014,ZOOTSPORTS
L_006_002_045_009,SPORTY 司普堤 車衣
L_006_002_045_008,OHIOSPORT 車衣
L_006_002_045_002,男款車褲
L_006_002_045_001,男款車衣
L_006_002_045_010,自行車專用鞋
L_006_002_045_011,Darn Tough 運動襪
L_006_002_045_017,x-moment
L_006_002_045_012,美津濃
L_006_002_045_018,【LEADER】任選館
L_006_002_045_003,女款車衣
L_006_002_045_004,女款車褲
L_006_002_051,運動護具/配件
L_006_002_051_001,運動護具
L_006_002_051_002,3M FUTURO 護具
L_006_002_051_003,BODY SCULPTURE
L_006_002_051_005,WEPON炭元素 護具
L_006_002_051_006,諾貝達
L_006_002_051_007,Clover 護具
L_006_002_048,頭巾/帽子
L_006_002_048_011,kusotop 自行車頭巾
L_006_002_048_008,PAC多功能創意領巾
L_006_002_048_007,其他頭巾
L_006_002_048_010,遮陽帽
L_006_002_046,ATEMPO 人身配件專區
L_006_002_059,IBERA
L_006_002_055,YNOT CYCLE 單車包
L_006_002_010,安全帽
L_006_002_034,丹麥YAKKAY單車帽
L_006_002_047,冰涼領巾
L_006_002_013,自行車燈
L_006_002_013_001,前後車燈組
L_006_002_013_002,頭燈．前燈
L_006_002_013_003,車尾燈
L_006_002_013_004,akslen車燈館
L_006_002_013_005,maxxon車燈館
L_006_002_013_006,infini車燈館
L_006_002_013_007,Smart-gold LED手電筒
L_006_002_013_011,ZOONIMAL 車燈
L_006_002_013_012,德國 LED LENSER
L_006_002_013_009,GUEE 個性環保概念燈
L_006_002_013_008,車輪燈
L_006_002_013_010,DOSUN 馬卡龍燈
L_006_002_050,車鈴
L_006_002_027,保養/清潔用品
L_006_002_022,打氣筒．胎壓計
L_006_002_022_001,打氣筒
L_006_002_017,座墊包/攜車袋/自行車袋
L_006_002_017_008,騎車用包
L_006_002_017_007,SHIMANO 自行車包
L_006_002_017_006,NORD
L_006_002_017_005,Tiger 自行車袋
L_006_002_017_002,馬鞍包
L_006_002_017_001,座墊包/車尾包
L_006_002_017_004,o-gns河馬車袋館
L_006_002_017_003,攜車袋
L_006_002_024,馬錶
L_006_002_014,自行車水壺/水壺架
L_006_002_014_005,CamelBak 水壺
L_006_002_014_008,MASSLOAD
L_006_002_014_007,IBERA
L_006_002_014_001,自行車水壺
L_006_002_014_002,水壺架
L_006_002_023,鎖具
L_006_002_054,車用手機袋/收納袋
L_006_002_021,工具組
L_006_002_029,其他
L_006_002_070,品牌配件任選專區
L_006_002_069,清潔保養用品499元出貨
L_006_002_053,RITE 單車包包
L_006_002_052,PUSH ! 系列
L_006_013,特惠活動
L_006_001,自行車/滑板車
L_006_007,自行車品牌
L_006_014,自行車依價格分類
L_006_003,自行車零組件
L_006_009,鐵馬行自行車配件商品
I_001_003_025,★特惠快搜
I_001_003_039,兒童椅/成長椅
I_001_003_006,兒童成長桌/組合
I_001_003_023,電腦椅-弧型扶手
I_001_003_015,電腦椅-T型扶手
I_001_003_017,電腦椅-無扶手
I_001_003_026,電腦椅-賽車椅
I_001_003_014,電腦椅-人體工學
I_001_003_018,工作椅/其他
I_001_003_004,抽屜邊櫃
I_001_003_027,書櫃-開放式
I_001_003_003,書櫃-附門式
I_001_003_028,書櫃-半開放式/附門抽
I_001_003_029,書櫃-大型書櫃組
I_001_003_030,書櫃-窄型/隙縫型
I_001_003_005,螢幕架/桌上置物櫃架
I_001_003_009,書桌-平面型
I_001_003_024,書桌-鍵盤型
I_001_003_019,書桌-和室型
I_001_003_012,書桌-書櫃層架型
I_001_003_011,書桌-L型/機能型
I_001_003_010,書桌-輕巧便利型
I_001_003_013,書桌-蛋頭+櫃型
I_001_003_032,■原木部屋層架►89折
I_001_003_031,■客製書櫃，任選出貨
I_001_003_034,■魔術方塊櫃自由配
I_001_003_036,■品田日居 | 抽屜櫃
I_001_003_038,■彩色組合收納櫃
